"project_id","event","award_bucket","project_name","url","tagline","verticals","sponsors_or_protocols","problem","solution","repo_url","demo_url","team_status","open_source_status","why_it_likely_won","lisbon_transfer","reject_risk","confidence","source_url","access_date"
"bore-oil","Solana Frontier Hackathon 2026","honorable_mention","Bore.oil","https://arena.colosseum.org/projects/explore/bore.oil","unresolved","unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"arete","Solana Frontier Hackathon 2026","honorable_mention","Arete","https://arena.colosseum.org/projects/explore/arete","unresolved","unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"surgepay","Solana Frontier Hackathon 2026","honorable_mention","Surgepay","https://arena.colosseum.org/projects/explore/surgepay:-whatsapp-first-remittance.-us-india.-in-seconds.-no-fees.-google-rates","unresolved","remittance; payments","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; slug suggests WhatsApp-first US-India remittance but details not verified beyond URL text.","Possible Lisbon payment transfer after detail extraction.","Do not overclaim from slug text.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"ride-markets","Solana Frontier Hackathon 2026","honorable_mention","Ride Markets","https://arena.colosseum.org/projects/explore/ride-markets","unresolved","markets unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"ryvo-network","Solana Frontier Hackathon 2026","honorable_mention","Ryvo Network","https://arena.colosseum.org/projects/explore/ryvo-network","unresolved","network unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"kestrel-protocol","Solana Frontier Hackathon 2026","honorable_mention","Kestrel Protocol","https://arena.colosseum.org/projects/explore/kestrel-protocol","unresolved","protocol; devtools unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; protocol naming suggests infrastructure but details unresolved.","Potential ecosystem scan target after detail extraction.","Do not infer implementation details from name.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"refi-hub","Solana Frontier Hackathon 2026","honorable_mention","ReFi Hub","https://arena.colosseum.org/projects/explore/refi-hub-2","unresolved","ReFi unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"almanac","Solana Frontier Hackathon 2026","honorable_mention","Almanac","https://arena.colosseum.org/projects/explore/almanac","unresolved","unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"ordr-trade","Solana Frontier Hackathon 2026","honorable_mention","Ordr.trade","https://arena.colosseum.org/projects/explore/ordr.trade","unresolved","trading unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"nora-finance","Solana Frontier Hackathon 2026","honorable_mention","Nora Finance","https://arena.colosseum.org/projects/explore/nora-finance","unresolved","finance unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
